Year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1970,1.434120059,33.26900101,5.955679893,5.65444994,47.3711319,4.276919842,1.398329973
1971,1.420269966,32.88243103,6.643939972,5.626009941,47.37176895,4.314780235,1.397500038
1972,1.454669952,32.30213165,7.417850018,5.949210167,48.1310997,4.361070156,1.431489944
1973,1.507369995,31.81344032,8.327750206,6.414710045,48.54442978,4.418330193,1.467550039
1974,1.694380045,31.41544914,9.580699921,6.82983017,48.86552811,4.482649803,1.542610049
1975,1.894099951,31.39261055,10.91740036,7.437960148,50.69002914,4.455470085,1.601300001
1976,2.068979979,31.42351913,11.38545036,8.177060127,53.98767853,4.429910183,1.665019989
1977,2.232259989,31.69524002,11.64643955,8.831069946,52.56095886,4.32765007,1.75632
1978,2.495239973,31.87899017,12.05167961,9.282159805,53.18912125,4.407899857,1.868039966
1979,2.935930014,31.91062927,12.65122032,9.501270294,52.70656967,4.49022007,2.01116991
1980,3.240190029,31.91674995,13.12090969,10.00191975,53.78263855,4.476910114,2.117549896
1981,3.67843008,32.09460831,13.53186989,10.6770401,55.87599182,4.693719864,2.262870073
1982,4.125380039,32.3995285,13.69390965,11.18389988,57.22438049,4.543690205,2.395689964
1983,4.291629791,32.9058609,13.93892002,11.44680023,57.95497894,5.107820034,2.460979939
1984,4.582339764,33.5881691,16.45812988,11.85488987,58.91342926,5.390049934,2.542030096
1985,4.86330986,34.51137161,17.06229973,11.89682961,59.01153946,5.371280193,2.67937994
1986,5.101059914,35.00099945,15.57425022,12.28870964,60.27769852,5.51252985,2.791830063
1987,5.251629829,35.3350296,15.8159399,12.51410961,63.05311966,5.703080177,2.847779989
1988,5.114349842,35.27996826,16.24151993,12.7360096,65.84545135,5.079999924,2.995399952
1989,5.211239815,35.05661011,16.27865028,12.55681992,68.66526794,5.234049797,3.145970106
1990,5.210380077,35.07178879,16.20401001,12.71461964,72.60516357,5.416769981,3.203079939
1991,5.28083992,34.46921158,16.48646927,12.51657963,74.70630646,5.463510036,3.308099985
1992,5.311620235,33.54735184,16.25745964,13.22834015,79.01374054,5.332829952,3.40692997
1993,5.505599976,32.37849045,15.99765968,14.10515976,79.5556488,5.25454998,3.588049889
1994,6.245530128,32.00194168,16.09573936,14.77439022,79.4019165,5.171989918,3.736109972
1995,7.032599926,31.79179001,18.05837059,15.57170963,79.44750214,5.096739769,3.804399967
1996,7.729199886,32.81256866,16.97941017,16.87191963,78.84066772,5.687749863,3.873480082
1997,8.619970322,33.93220139,19.27238083,17.82863998,74.17410278,5.919809818,3.950409889
1998,9.425519943,34.77988815,19.40852928,18.61613083,69.51898956,6.691959858,3.986710072
1999,10.46051025,36.4605484,21.60980988,19.75098038,70.98281097,7.46118021,4.050930023
2000,11.49357033,38.79758835,21.95021057,19.90332985,67.24054718,8.212770462,4.40571022
2001,13.09436035,41.9612999,23.59410095,20.46820068,68.00734711,8.466170311,4.774499893
2002,15.0710001,45.07278824,25.4120903,20.81394005,77.37631989,8.819470406,5.122759819
2003,17.07506943,48.23458099,27.10923004,20.82085991,79.17449188,9.167790413,5.496240139
2004,18.73700905,49.29449081,28.46656036,22.09752083,79.31575775,9.435359955,5.746500015
2005,19.90203094,51.37348175,29.95615005,23.20158958,79.88397217,9.491979599,6.066569805
2006,20.75941086,53.2892189,32.40758133,24.07010078,79.86456299,10.20431995,6.310949802
2007,21.3263607,54.66516876,34.5281105,25.83962059,80.73320007,11.59529018,6.544980049
2008,21.86499977,55.6546402,37.59854889,28.07546043,82.5030899,13.1427803,6.936560154
2009,23.35257912,56.73735809,38.62154007,28.6706295,85.71922302,14.22379017,7.394909859
2010,24.74809074,57.99831009,39.42041016,30.42462921,90.80854797,15.8562603,7.860589981
2011,25.90497971,58.84629822,41.60746002,30.85403061,92.70110321,19.74817085,8.051580429
2012,27.98134995,59.82962036,42.50870132,33.10248947,91.38791656,21.07447052,8.309559822
2013,30.21158028,61.94181061,43.20227814,34.52679825,85.94677734,20.82682037,8.533760071
2014,36.47032166,62.06658173,43.30205154,36.42274857,84.03231812,20.83864021,8.593660355
